symbol,name,sector,segment
MSA,MSA Safety,Industrials,mid
MSM,MSC Industrial Direct,Industrials,mid
MTDR,Matador Resources,Energy,mid
MTG,MGIC Investment Corporation,Financials,mid
MTN,Vail Resorts,Consumer Discretionary,mid
MTSI,MACOM Technology Solutions,Information Technology,mid
MTZ,MasTec,Industrials,mid
MUR,Murphy Oil,Energy,mid
MUSA,Murphy USA,Consumer Discretionary,mid
MZTI,The Marzetti Company,Consumer Staples,mid
NBIX,Neurocrine Biosciences,Health Care,mid
NEU,NewMarket Corporation,Materials,mid
NFG,National Fuel Gas,Utilities,mid
NJR,New Jersey Resources,Utilities,mid
NLY,Annaly Capital Management,Financials,mid
NNN,NNN Reit,Real Estate,mid
NOV,NOV Inc.,Energy,mid
NOVT,Novanta,Information Technology,mid
NTNX,Nutanix,Information Technology,mid
NVST,Envista Holdings,Health Care,mid
NVT,nVent Electric plc,Industrials,mid
NWE,NorthWestern Energy,Utilities,mid
NXST,Nexstar Media Group,Communication Services,mid
NXT,Nextpower,Industrials,mid
NYT,New York Times Company,Communication Services,mid
OC,Owens Corning,Industrials,mid
OGE,OGE Energy,Utilities,mid
OGS,One Gas,Utilities,mid
OHI,Omega Healthcare Investors,Real Estate,mid
OKTA,"Okta, Inc.",Information Technology,mid
OLED,Universal Display,Information Technology,mid
OLLI,Ollie's Bargain Outlet,Consumer Discretionary,mid
OLN,Olin Corporation,Materials,mid
ONB,Old National Bank,Financials,mid
ONTO,Onto Innovation,Information Technology,mid
OPCH,Option Care Health,Health Care,mid
ORA,Ormat Technologies,Utilities,mid
ORI,Old Republic International,Financials,mid
OSK,Oshkosh,Industrials,mid
OVV,Ovintiv,Energy,mid
OZK,Bank OZK,Financials,mid
P,Everpure,Information Technology,mid
PAG,Penske Automotive Group,Consumer Discretionary,mid
PATH,UiPath,Information Technology,mid
PB,Prosperity Bancshares,Financials,mid
PBF,PBF Energy,Energy,mid
PCTY,Paylocity,Industrials,mid
PEGA,Pegasystems,Information Technology,mid
PEN,"Penumbra, Inc.",Health Care,mid
PFGC,Performance Food Group,Consumer Staples,mid
PII,Polaris,Consumer Discretionary,mid
PINS,Pinterest,Communication Services,mid
PK,Park Hotels & Resorts,Real Estate,mid
PLNT,Planet Fitness,Consumer Discretionary,mid
PNFP,Pinnacle Financial Partners,Financials,mid
POR,Portland General Electric,Utilities,mid
POST,Post Holdings,Consumer Staples,mid
PPC,Pilgrim's Pride,Consumer Staples,mid
PR,Permian Resources,Energy,mid
PRI,Primerica,Financials,mid
PSN,Parsons Corporation,Industrials,mid
PVH,PVH Corp.,Consumer Discretionary,mid
QLYS,Qualys,Information Technology,mid
R,Ryder,Industrials,mid
RBA,RB Global,Industrials,mid
RBC,RBC Bearings,Industrials,mid
REXR,Rexford Industrial Realty,Real Estate,mid
RGA,Reinsurance Group of America,Financials,mid
RGEN,Repligen,Health Care,mid
RGLD,Royal Gold,Materials,mid
RH,RH,Consumer Discretionary,mid
RLI,RLI Corp.,Financials,mid
RMBS,Rambus,Information Technology,mid
RNR,RenaissanceRe,Financials,mid
ROIV,Roivant Sciences,Health Care,mid
ROKU,"Roku, Inc.",Communication Services,mid
RPM,RPM International,Materials,mid
RRC,Range Resources,Energy,mid
RRX,Regal Rexnord,Industrials,mid
RS,"Reliance, Inc.",Materials,mid
RYAN,Ryan Specialty,Financials,mid
RYN,Rayonier,Real Estate,mid
SAIA,Saia,Industrials,mid
SAIC,Science Applications Intl Corp,Industrials,mid
SAM,Boston Beer Company,Consumer Staples,mid
SANM,Sanmina Corporation,Information Technology,mid
SARO,StandardAero,Industrials,mid
SBRA,Sabra Health Care REIT,Real Estate,mid
SCI,Service Corp Intl,Consumer Discretionary,mid
SEIC,SEI Investments Company,Financials,mid
SF,Stifel,Financials,mid
SFM,Sprouts Farmers Market,Consumer Staples,mid
SGI,Somnigroup International,Consumer Discretionary,mid
SHC,Sotera Health,Health Care,mid
SIGI,Selective Insurance Group,Financials,mid
SIRI,SiriusXM,Communication Services,mid
SITM,SiTime,Information Technology,mid
SLAB,Silicon Labs,Information Technology,mid
SLGN,Silgan Holdings,Materials,mid
SLM,SLM Corp,Financials,mid
SMG,Scotts Miracle-Gro Company,Materials,mid
SMTC,Semtech,Information Technology,mid
SN,SharkNinja,Consumer Discretionary,mid
SNX,TD Synnex,Information Technology,mid
SOLS,Solstice Advanced Materials,Materials,mid
SON,Sonoco,Materials,mid
SPXC,SPX Technologies,Industrials,mid
SR,Spire,Utilities,mid
SSB,South State Bank,Financials,mid
SSD,Simpson Manufacturing,Industrials,mid
ST,Sensata Technologies,Industrials,mid
STAG,STAG Industrial,Real Estate,mid
STRL,Sterling Infrastructure,Industrials,mid
STWD,Starwood Property Trust,Financials,mid
SWX,Southwest Gas Corp,Utilities,mid
SYNA,Synaptics,Information Technology,mid
TCBI,Texas Capital Bancshares,Financials,mid
TEX,Terex,Industrials,mid
THC,Tenet Health,Health Care,mid
THG,Hanover Insurance,Financials,mid
THO,Thor Industries,Consumer Discretionary,mid
TKR,Timken,Industrials,mid
TLN,Talen Energy,Utilities,mid
TNL,Travel + Leisure Co.,Consumer Discretionary,mid
TOL,Toll Brothers,Consumer Discretionary,mid
TOST,"Toast, Inc.",Financials,mid
TREX,Trex,Industrials,mid
TRU,TransUnion,Industrials,mid
TTC,Toro,Industrials,mid
TTEK,Tetra Tech,Industrials,mid
TTMI,TTM Technologies,Information Technology,mid
TWLO,Twilio,Information Technology,mid
TXNM,TXNM Energy,Utilities,mid
TXRH,Texas Roadhouse,Consumer Discretionary,mid
UBSI,United Bankshares,Financials,mid
UFPI,UFP Industries,Industrials,mid
UGI,UGI Corp,Utilities,mid
ULS,UL Solutions,Industrials,mid
UMBF,UMB Financial Corp.,Financials,mid
UNM,Unum,Financials,mid
USFD,US Foods,Consumer Staples,mid
UTHR,United Therapeutics,Health Care,mid
VAL,Valaris,Energy,mid
VC,Visteon,Consumer Discretionary,mid
VFC,VF Corporation,Consumer Discretionary,mid
VIAV,Viavi Solutions,Information Technology,mid
VICR,Vicor Corporation,Industrials,mid
VLY,Valley Bank,Financials,mid
VMI,Valmont Industries,Industrials,mid
VNO,Vornado Realty Trust,Real Estate,mid
VNOM,Viper Energy,Energy,mid
VNT,Vontier,Information Technology,mid
VOYA,Voya Financial,Financials,mid
VVV,Valvoline,Consumer Discretionary,mid
WAL,Western Alliance Bancorporation,Financials,mid
WBS,Webster Bank,Financials,mid
WCC,WESCO International,Industrials,mid
WEX,WEX Inc.,Financials,mid
WFRD,Weatherford International,Energy,mid
WH,Wyndham Hotels & Resorts,Consumer Discretionary,mid
WHR,Whirlpool Corporation,Consumer Discretionary,mid
WING,Wingstop,Consumer Discretionary,mid
WLK,Westlake Corporation,Materials,mid
WMG,Warner Music Group,Communication Services,mid
WMS,Advanced Drainage Systems,Industrials,mid
WPC,W. P. Carey,Real Estate,mid
WSO,Watsco,Industrials,mid
WTFC,Wintrust Financial,Financials,mid
WTRG,Essential Utilities,Utilities,mid
WTS,Watts Water Technologies,Industrials,mid
WWD,"Woodward, Inc.",Industrials,mid
XPO,"XPO, Inc.",Industrials,mid
XRAY,Dentsply Sirona,Health Care,mid
YETI,Yeti Holdings,Consumer Discretionary,mid
ZION,Zions Bancorporation,Financials,mid
AAMI,Acadian Asset Management Inc.,Financials,small
AAP,"Advance Auto Parts, Inc.",Consumer Discretionary,small
AAT,American Assets Trust,Real Estate,small
ABCB,Ameris Bancorp,Financials,small
ABG,Asbury Automotive Group,Consumer Discretionary,small
ABM,"ABM Industries, Inc.",Industrials,small
ABR,Arbor Realty Trust,Financials,small
ACA,"Arcosa, Inc.",Industrials,small
ACAD,Acadia Pharmaceuticals,Health Care,small
ACHC,Acadia Healthcare,Health Care,small
ACIW,ACI Worldwide,Information Technology,small
ACLS,"Axcelis Technologies, Inc.",Information Technology,small
ACMR,"ACM Research, Inc.",Information Technology,small
ACT,"Enact Holdings, Inc.",Financials,small
ADAM,"Adamas Trust, Inc.",Real Estate,small
ADEA,"Adeia, Inc.",Information Technology,small
ADMA,"ADMA Biologics, Inc.",Health Care,small
ADNT,Adient,Consumer Discretionary,small
ADT,ADT Inc.,Consumer Discretionary,small
ADUS,Addus HomeCare Corp.,Health Care,small
AEO,American Eagle Outfitters,Consumer Discretionary,small
AESI,"Atlas Energy Solutions, Inc.",Energy,small
AGNT,"eXp World Holdings, Inc.",Real Estate,small
AGO,Assured Guaranty Ltd.,Financials,small
AGX,"Argan, Inc.",Industrials,small
AGYS,"Agilysys, Inc.",Information Technology,small
AHCO,AdaptHealth Corp.,Health Care,small
AIN,Albany International Corp.,Industrials,small
AIR,AAR Corp.,Industrials,small
AKR,Acadia Realty Trust,Real Estate,small
ALG,Alamo Group,Industrials,small
ALGT,Allegiant Travel Company,Industrials,small
ALHC,"Alignment Healthcare, Inc.",Health Care,small
ALKS,Alkermes plc,Health Care,small
ALRM,"Alarm.Com, Inc.",Financials,small
AMN,"Amn Healthcare Services, Inc.",Health Care,small
AMPH,"Amphstar Pharmaceuticals, Inc.",Health Care,small
AMR,"Alpha Metallurgical Resources, Inc.",Materials,small
AMRX,Amneal Pharmaceuticals,Health Care,small
AMSF,"Amerisafe, Inc.",Financials,small
AMTM,Amentum,Industrials,small
ANDE,"The Andersons, Inc.",Consumer Staples,small
ANIP,"ANI Pharmaceuticals, Inc.",Health Care,small
AORT,Artivion,Health Care,small
AOSL,"Alpha and Omega Semiconductor, Ltd.",Information Technology,small
APAM,"Artisan Partners Asset Management, Inc.",Financials,small
APLE,"Apple Hospitality REIT, Inc.",Real Estate,small
APOG,"Apogee Enterprises, Inc.",Industrials,small
ARCB,ArcBest Corp.,Industrials,small
ARLO,Arlo Technologies,Information Technology,small
AROC,"Archrock, Inc.",Energy,small
ARR,Armour Residential REIT,Real Estate,small
ASO,Academy Sports + Outdoors,Consumer Discretionary,small
ASTE,"Astec Industries, Inc.",Industrials,small
ASTH,"Astrana Health, Inc.",Health Care,small
ATEN,"A10 Networks, Inc.",Information Technology,small
ATMU,Atmus Filtration Technologies Inc.,Industrials,small
AUB,"Atlantic Union Bankshares, Corp.",Financials,small
AVA,Avista Corporation,Utilities,small
AWI,"Armstrong World Industries, Inc.",Industrials,small
AWR,American States Water Company,Utilities,small
AX,"Axos Financial, Inc.",Financials,small
AZTA,"Azenta, Inc.",Health Care,small
AZZ,"AZZ, Inc.",Industrials,small
BANC,"Banc Of California, Inc.",Financials,small
BANF,Bancfirst Corp,Financials,small
BANR,Banner Corporation,Financials,small
BBT,Beacon Financial Corp.,Financials,small
BCC,Boise Cascade,Industrials,small
BCPC,Balchem Corporation,Materials,small
BFAM,Bright Horizons Family Solutions Inc.,Consumer Discretionary,small
BFH,"Bread Financial Holdings, Inc.",Financials,small
BFS,"Saul Centers, Inc.",Real Estate,small
BGC,"BGC Group, Inc.",Financials,small
BHE,"Benchmark Electronics, Inc.",Information Technology,small
BJRI,"BJ's Restaurants, Inc.",Consumer Discretionary,small
BKE,"The Buckle, Inc.",Consumer Discretionary,small
BKU,"BankUnited, Inc.",Financials,small
BL,"BlackLine Systems, Inc.",Information Technology,small
BLFS,"BioLife Solutions, Inc.",Health Care,small
BLKB,Blackbaud,Information Technology,small
BMI,"Badger Meter, Inc.",Information Technology,small
BNL,"Broadstone Net Lease, Inc.",Real Estate,small
BOH,Bank of Hawaii,Financials,small
BOOT,"Boot Barn Holdings, Inc.",Consumer Discretionary,small
BOX,"Box, Inc.",Information Technology,small
BRC,Brady Corporation,Industrials,small
BTU,"Peabody Energy, Inc.",Energy,small
BXMT,"Blackstone Mortgage Trust, Inc.",Financials,small
CACC,Credit Acceptance,Financials,small
CAG,Conagra Brands,Consumer Staples,small
CAKE,"The Cheesecake Factory, Inc.",Consumer Discretionary,small
CALM,"Cal-Maine Foods, Inc.",Consumer Staples,small
CALX,Calix,Information Technology,small
CALY,Callaway Golf Company,Consumer Discretionary,small
CARG,CarGurus,Communication Services,small
CASH,"Pathward Financial, Inc.",Financials,small
CATY,Cathay General Bancorp,Financials,small
CBRL,Cracker Barrel,Consumer Discretionary,small
CBU,"Community Bank System, Inc.",Financials,small
CC,Chemours,Materials,small
CCOI,"Cogent Communications Holdings, Inc.",Communication Services,small
CCS,"Century Communities, Inc.",Consumer Discretionary,small
CE,Celanese,Materials,small
CENT,Central Garden & Pet Company,Consumer Staples,small
CENTA,Central Garden & Pet Company (Class A),Consumer Staples,small
CENX,Century Aluminum Company,Materials,small
CERT,"Certara, Inc.",Health Care,small
CFFN,Capitol Federal Savings Bank,Financials,small
CHCO,City Holding Company,Financials,small
CHEF,"Chefs' Warehouse, Inc.",Consumer Staples,small
CLSK,"CleanSpark, Inc.",Information Technology,small
CNK,"Cinemark Holdings, Inc.",Communication Services,small
CNMD,CONMED Corporation,Health Care,small
CNR,"Core Natural Resources, Inc.",Energy,small
CNS,"Cohen & Steers, Inc.",Financials,small
CNXC,Concentrix,Industrials,small
CNXN,"PC Connection, Inc.",Information Technology,small
COCO,The Vita Coco Company,Consumer Staples,small
COHU,"Cohu, Inc.",Information Technology,small
COLL,"Collegium Pharmaceutical, Inc.",Health Care,small
CON,"Concentra Group Holdings Parent, Inc.",Health Care,small
CORT,Corcept Therapeutics Incorporated,Health Care,small
COTY,Coty,Consumer Staples,small
CPB,The Campbell's Company,Consumer Staples,small
CPF,Central Pacific Financial Corp.,Financials,small
CPK,Chesapeake Utilities Corp.,Utilities,small
CRC,California Resources Corporation,Energy,small
CRGY,Crescent Energy Company,Energy,small
CRI,"Carter's, Inc.",Consumer Discretionary,small
CRK,"Comstock Resources, Inc.",Energy,small
CRSR,Corsair Gaming,Information Technology,small
CRVL,CorVel Corporation,Health Care,small
CSR,Centerspace Trust,Real Estate,small
CSW,"CSW Industrials, Inc.",Industrials,small
CTS,CTS Corporation,Information Technology,small
CUBI,"Customers Bancorp, Inc.",Financials,small
CURB,Curbline Properties Corp.,Real Estate,small
CVBF,CVB Financial Corp.,Financials,small
CVCO,"Cavco Industries, Inc.",Consumer Discretionary,small
CVI,"CVR Energy, Inc.",Energy,small
CVSA,Covista Inc.,Consumer Discretionary,small
CWEN,"Clearway Energy, Inc. (Class C)",Utilities,small
CWEN.A,"Clearway Energy, Inc. (Class A)",Utilities,small
CWK,Cushman & Wakefield plc,Real Estate,small
CWST,"Casella Waste Systems, Inc.",Industrials,small
CWT,California Water Service Group,Utilities,small
CXM,"Sprinklr, Inc.",Information Technology,small
CXW,CoreCivic,Industrials,small
CZR,Caesars Entertainment,Consumer Discretionary,small
DAN,Dana Incorporated,Consumer Discretionary,small
DAVE,"Dave, Inc.",Financials,small
DBD,Diebold Nixdorf,Information Technology,small
DCH,Dauch Corporation,Consumer Discretionary,small
DCOM,"Dime Community Bancshares, Inc.",Financials,small
DEA,"Easterly Government Properties, Inc.",Real Estate,small
DEI,Douglas Emmett,Real Estate,small
DFH,"Dream Finders Homes, Inc.",Consumer Discretionary,small
DFIN,"Donnelley Financial Solutions, Inc.",Financials,small
DGII,Digi International Inc.,Information Technology,small
DIOD,Diodes Incorporated,Information Technology,small
DLX,Deluxe Corporation,Industrials,small
DMC,Del Monte Corporation,Consumer Staples,small
DNOW,NOW Inc,Industrials,small
DORM,"Dorman Products, Inc.",Consumer Discretionary,small
DRH,DiamondRock Hospitality Company,Real Estate,small
DV,DoubleVerify Holdings Inc.,Communication Services,small
DXC,DXC Technology,Information Technology,small
DXPE,"DXP Enterprises, Inc.",Industrials,small
EAT,"Brinker International, Inc.",Consumer Discretionary,small
EBC,"Eastern Bankshares, Inc.",Financials,small
ECG,"Everus Construction Group, Inc.",Industrials,small
ECPG,"Encore Capital Group, Inc.",Financials,small
EFC,"Ellington Financial, Inc.",Financials,small
EFOR,Everforth Inc.,Information Technology,small
EGBN,Eagle Bancorp Inc,Financials,small
EIG,"Employers Holdings, Inc.",Financials,small
EMN,Eastman Chemical Company,Materials,small
ENOV,Enovis,Health Care,small
ENPH,Enphase Energy,Information Technology,small
ENR,Energizer,Consumer Staples,small
ENVA,"Enova International, Inc.",Financials,small
EPAC,Enerpac Tool Group,Industrials,small
EPAM,EPAM Systems,Information Technology,small
EPC,Edgewell Personal Care,Consumer Staples,small
EPRT,"Essential Properties Realty Trust, Inc.",Real Estate,small
ESE,ESCO Technologies Inc.,Industrials,small
ESI,Element Solutions,Materials,small
ETSY,Etsy,Consumer Discretionary,small
EVTC,"EVERTEC, Inc.",Financials,small
EXTR,"Extreme Networks, Inc.",Information Technology,small
EYE,National Vision Holdings,Consumer Discretionary,small
EZPW,"EZCORP, Inc.",Financials,small
FA,First Advantage Corporation,Industrials,small
FBK,FB Financial Corp.,Financials,small
FBNC,First Bancorp (Southern Pines NC),Financials,small
FBP,First BanCorp (Puerto Rico),Financials,small
FBRT,"Franklin BSP Realty Trust, Inc.",Real Estate,small
FCF,"First Commonwealth Financial, Corp.",Financials,small
FCPT,"Four Corners Property Trust, Inc.",Real Estate,small
FELE,Franklin Electric,Industrials,small
FFBC,First Financial Bancorp,Financials,small
FG,"F&G Annuities & Life, Inc.",Financials,small
FHB,"First Hawaiian, Inc.",Financials,small
FIBK,"First Interstate BancSystem, Inc.",Financials,small
FIVN,"Five9, Inc.",Information Technology,small
FIZZ,National Beverage Corp.,Consumer Staples,small
FLO,Flowers Foods,Consumer Staples,small
FMC,FMC Corporation,Materials,small
FORM,"FormFactor, Inc.",Information Technology,small
FOXF,Fox Factory,Consumer Discretionary,small
FRPT,Freshpet,Consumer Staples,small
FSS,Federal Signal Corporation,Industrials,small
FTDR,"Frontdoor, Inc.",Consumer Discretionary,small
FTRE,Fortrea,Health Care,small
FUL,H.B. Fuller Company,Materials,small
FULT,Fulton Financial Corporation,Financials,small
FUN,Six Flags,Consumer Discretionary,small
GBX,"The Greenbrier Companies, Inc.",Industrials,small
GEO,"GEO Group, Inc.",Industrials,small
GFF,Griffon Corporation,Industrials,small
GIII,"G-III Apparel Group, Ltd.",Consumer Discretionary,small
GKOS,Glaukos Corp.,Health Care,small
GNL,"Global Net Lease, Inc.",Real Estate,small
GNW,"Genworth Financial, Inc.",Financials,small
GO,Grocery Outlet,Consumer Staples,small
GOLF,Acushnet Company,Consumer Discretionary,small
GPI,"Group 1 Automotive, Inc.",Consumer Discretionary,small
GPOR,Gulfport Energy Corporation,Energy,small
GRBK,"Green Brick Partners, Inc.",Consumer Discretionary,small
GSHD,"Goosehead Insurance, Inc.",Financials,small
GT,Goodyear Tire and Rubber Company,Consumer Discretionary,small
GTES,Gates Corporation,Industrials,small
GTM,ZoomInfo,Communication Services,small
GTY,Getty Realty Corp.,Real Estate,small
GVA,"Granite Construction, Inc.",Industrials,small
HAFC,Hanmi Financial Corporation,Financials,small
HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",Financials,small
HAYW,"Hayward Holdings, Inc.",Industrials,small
HCC,"Warrior Met Coal, Inc.",Materials,small
HCI,"HCI Group, Inc.",Financials,small
HCSG,"Healthcare Services Group, Inc.",Industrials,small
HE,"Hawaiian Electric Industries, Inc.",Utilities,small
HFWA,Heritage Financial Corporation,Financials,small
HIW,Highwoods Properties,Real Estate,small
HLIT,Harmonic Inc.,Information Technology,small
HLX,"Helix Energy Solutions Group, Inc.",Energy,small
HMN,Horace Mann Educators Corporation,Financials,small
HNI,HNI Corporation,Industrials,small
HOPE,"Hope Bancorp, Inc.",Financials,small
HP,"Helmerich & Payne, Inc.",Energy,small
HRMY,"Harmony Biosciences Holdings, Inc.",Health Care,small
HSTM,"HealthStream, Inc.",Health Care,small
HTH,Hilltop Holdings Inc.,Financials,small
HTLD,"Heartland Express, Inc.",Industrials,small
HTO,H2O America,Utilities,small
HTZ,Hertz,Industrials,small
HUBG,"Hub Group, Inc.",Industrials,small
HWKN,"Hawkins, Inc.",Materials,small
HZO,"MarineMax, Inc.",Consumer Discretionary,small
IART,Integra Lifesciences Holdings,Health Care,small
IBP,"Installed Building Products, Inc.",Consumer Discretionary,small
ICHR,"Ichor Holdings, Ltd.",Information Technology,small
ICUI,ICU Medical,Health Care,small
IIPR,"Innovative Industrial Properties, Inc.",Real Estate,small
INDB,Independent Bank Corp.,Financials,small
INDV,Indivior,Health Care,small
INSP,"Inspire Medical Systems, Inc.",Health Care,small
INSW,"International Seaways, Inc.",Energy,small
INVA,"Innoviva, Inc.",Health Care,small
INVX,"Innovex International, Inc.",Energy,small
IOSP,"Innospec, Inc.",Materials,small
IPAR,"Inter Parfums, Inc.",Consumer Staples,small
IRDM,Iridium Communications,Communication Services,small
ITGR,Integer Holdings Corporation,Health Care,small
ITRI,"Itron, Inc.",Information Technology,small
IVT,InvenTrust Properties,Real Estate,small
JBGS,JBG Smith,Real Estate,small
JBLU,JetBlue,Industrials,small
JBSS,"John B. Sanfilippo & Son, Inc.",Consumer Staples,small
JBTM,JBT Marel Corporation,Industrials,small
JJSF,J&J Snack Foods Corp.,Consumer Staples,small
JOE,St. Joe Company,Real Estate,small
JXN,"Jackson Financial, Inc.",Financials,small
KAI,Kadant Inc.,Industrials,small
KALU,Kaiser Aluminum Corporation,Materials,small
KFY,Korn/Ferry International,Industrials,small
KGS,"Kodiak Gas Services, Inc.",Energy,small
KLIC,"Kulicke and Soffa Industries, Inc.",Information Technology,small
KMPR,Kemper Corporation,Financials,small
KMT,Kennametal,Industrials,small
KMX,"CarMax, Inc.",Consumer Discretionary,small
KN,Knowles Corporation,Information Technology,small
KNTK,"Kinetik Holdings, Inc.",Energy,small
KOP,"Koppers Holdings, Inc.",Materials,small
KRMN,Karman Holdings,Industrials,small
KSS,Kohl's Corp.,Consumer Discretionary,small
KTB,Kontoor Brands,Consumer Discretionary,small
KWR,Quaker Chemical Corporation,Materials,small
LAUR,"Laureate Education, Inc.",Consumer Discretionary,small
LAZ,Lazard,Financials,small
LBRT,"Liberty Energy, Inc.",Energy,small
LCII,LCI Industries,Consumer Discretionary,small
LEG,Leggett & Platt,Consumer Discretionary,small
LEU,Centrus Energy Corp.,Energy,small
LFST,Lifestance Health,Health Care,small
LGIH,LGI Homes,Consumer Discretionary,small
LIF,Life360,Information Technology,small
LGND,"Ligand Pharmaceuticals, Inc.",Health Care,small
LKFN,Lakeland Financial,Financials,small
LKQ,LKQ Corporation,Consumer Discretionary,small
LMAT,LeMaitre Vascular,Health Care,small
LNC,Lincoln Financial,Financials,small
LNN,Lindsay Corporation,Materials,small
LPG,Dorian LPG Ltd.,Energy,small
LQDA,Liquidia Corporation,Health Care,small
LQDT,"Liquidity Services, Inc.",Industrials,small
LRN,"Stride, Inc.",Consumer Discretionary,small
LTC,"LTC Properties, Inc.",Real Estate,small
LTH,"Life Time Group Holdings, Inc.",Consumer Discretionary,small
LUMN,Lumen Technologies,Communication Services,small
LW,Lamb Weston,Consumer Staples,small
LXP,Lexington Realty Trust,Real Estate,small
LYFT,"Lyft, Inc.",Industrials,small
LZ,"LegalZoom.com, Inc.",Industrials,small
LZB,"La-Z-Boy, Inc.",Consumer Discretionary,small
MAC,Macerich,Real Estate,small
MAN,ManpowerGroup,Industrials,small
MARA,"MARA Holdings, Inc.",Information Technology,small
MATW,Matthews International Corporation,Consumer Discretionary,small
MATX,"Matson, Inc.",Industrials,small
MBC,"MasterBrand, Inc.",Industrials,small
MBGL,"Mobility Global, Inc.",Industrials,small
MBIN,Merchants Bancorp,Financials,small
MC,Moelis & Company,Financials,small
MCRI,"Monarch Casino & Resort, Inc.",Consumer Discretionary,small
MCY,Mercury General,Financials,small
MD,Pediatrix Medical Group,Health Care,small
MDU,"MDU Resources Group, Inc.",Utilities,small
MFP,"Midera Food Processing, Inc.",Industrials,small
MGEE,"MGE Energy, Inc.",Utilities,small
MGY,"Magnolia Oil & Gas, Corp.",Energy,small
MHK,Mohawk Industries,Consumer Discretionary,small
MHO,"M/I Homes, Inc.",Consumer Discretionary,small
MIR,"Mirion Technologies, Inc.",Information Technology,small
MKTX,MarketAxess,Financials,small
MLKN,"MillerKnoll, Inc.",Industrials,small
MMI,"Marcus & Millichap, Inc.",Real Estate,small
MMSI,"Merit Medical Systems, Inc.",Health Care,small
MPT,Medical Properties Trust,Real Estate,small
MRCY,Mercury Systems,Industrials,small
MRP,"Millrose Properties, Inc.",Real Estate,small
MRTN,"Marten Transport, Ltd.",Industrials,small
MSEX,Middlesex Water Company,Utilities,small
MSGS,Madison Square Garden Sports Corp.,Communication Services,small
MTCH,Match Group,Communication Services,small
MTH,Meritage Homes Corporation,Consumer Discretionary,small
MTRN,Materion Corp.,Materials,small
MTUS,Metallus Inc,Materials,small
MTX,Minerals Technologies,Materials,small
MWA,Mueller Water Products,Industrials,small
MXL,"MaxLinear, Inc.",Information Technology,small
MYRG,"MYR Group, Inc.",Industrials,small
NABL,"N-able, Inc.",Information Technology,small
NATL,NCR Atleos,Financials,small
NAVI,Navient,Financials,small
NBHC,National Bank Holdings Corporation,Financials,small
NBTB,"NBT Bancorp, Inc.",Financials,small
NE,Noble Corporation,Energy,small
NEO,"NeoGenomics Laboratories, Inc.",Health Care,small
NEOG,Neogen,Health Care,small
NGVT,"Ingevity, Corp.",Materials,small
NHC,"National Healthcare, Corp.",Health Care,small
NHI,"National Health Investors, Inc.",Real Estate,small
NIC,Nicolet Bankshares,Financials,small
NMIH,"NMI Holdings, Inc.",Financials,small
NOG,"Northern Oil and Gas, Inc.",Energy,small
NPK,"National Presto Industries, Inc.",Industrials,small
NPO,"EnPro Industries, Inc.",Industrials,small
NSIT,"Insight Enterprises, Inc.",Industrials,small
NSP,Insperity,Industrials,small
NSSC,Napco Security Technologies,Information Technology,small
NTCT,"NETSCOUT Systems, Inc.",Information Technology,small
NTST,NETSTREIT Corp.,Real Estate,small
NWBI,"Northwest Bancshares, Inc.",Financials,small
NWL,Newell Brands,Consumer Discretionary,small
NWN,NW Natural,Utilities,small
NX,Quanex Building Products Corporation,Industrials,small
NXRT,"NexPoint Residential Trust, Inc.",Real Estate,small
OFG,OFG Bancorp,Financials,small
OGN,Organon & Co.,Health Care,small
OI,"O-I Glass, Inc.",Materials,small
OII,"Oceaneering International, Inc.",Energy,small
OMCL,Omnicell,Health Care,small
OPLN,"OPENLANE, Inc.",Industrials,small
OSIS,"OSI Systems, Inc.",Information Technology,small
OSW,OneSpaWorld Holdings Limited,Consumer Discretionary,small
OTTR,Otter Tail Corporation,Utilities,small
OUT,Outfront Media,Real Estate,small
PAHC,Phibro Animal Health,Health Care,small
PARR,"Par Pacific Holdings, Inc.",Energy,small
PAYC,Paycom,Industrials,small
PAYO,Payoneer Global Inc.,Financials,small
PATK,"Patrick Industries, Inc.",Consumer Discretionary,small
PBH,Prestige Consumer Healthcare,Health Care,small
PBI,"Pitney Bowes, Inc.",Industrials,small
PCRX,"Pacira BioSciences, Inc.",Health Care,small
PDFS,"PDF Solutions, Inc.",Information Technology,small
PEB,Pebblebrook Hotel Trust,Real Estate,small
PECO,Phillips Edison & Company,Real Estate,small
PENG,"Penguin Solutions, Inc.",Information Technology,small
PENN,Penn Entertainment,Consumer Discretionary,small
PFBC,Preferred Bank,Financials,small
PFS,"Provident Financial Services, Inc.",Financials,small
PGNY,"Progyny, Inc.",Health Care,small
PHIN,"PHINIA, Inc.",Consumer Discretionary,small
PI,"Impinj, Inc.",Information Technology,small
PIPR,Piper Sandler Companies,Financials,small
PJT,"PJT Partners, Inc.",Financials,small
PLAB,"Photronics, Inc.",Information Technology,small
PLMR,"Palomar Holdings, Inc.",Financials,small
PLUS,"ePlus, Inc.",Information Technology,small
PLXS,Plexus Corp.,Information Technology,small
PMT,PennyMac Mortgage Investment Trust,Real Estate,small
POOL,Pool Corporation,Consumer Discretionary,small
POWI,Power Integrations,Information Technology,small
POWL,"Powell Industries, Inc.",Industrials,small
PPLI,People Inc.,Communication Services,small
