month,P1_base,P1_scale_base,P2_base,P2_scale_base,P3_base,Benchmark_base,P3_scale_base,Benchmark_scale_base,Risk_free,P1_stress,P1_scale_stress,P2_stress,P2_scale_stress,P3_stress,Benchmark_stress,P3_scale_stress,Benchmark_scale_stress,P1_base_proportional_drag_sensitivity,P2_base_proportional_drag_sensitivity,P3_base_proportional_drag_sensitivity,P1_stress_proportional_drag_sensitivity,P2_stress_proportional_drag_sensitivity,P3_stress_proportional_drag_sensitivity,P3_base_actual_inner_scale_financing_sensitivity,P3_stress_actual_inner_scale_financing_sensitivity
1993-11,0.00858589293604,1.17741623525,-0.0127479166667,1.5,,,,,,0.0077525596027,1.17741623525,-0.01358125,1.5,,,,,0.00843804607333,-0.01358125,,0.00745686587729,-0.01483125,,,
1993-12,0.0867054764428,1.18339138541,0.00987395833333,1.5,,,,,,0.0858721431094,1.18339138541,0.009040625,1.5,,,,,0.0865526502882,0.009040625,,0.0855664908004,0.007790625,,,
1994-01,-0.00668274785774,1.09343823248,0.0129302083333,1.5,,,,,,-0.00751608119108,1.09343823248,0.012096875,1.5,,,,,-0.00676061305148,0.012096875,,-0.00767181157855,0.010846875,,,
1994-02,-0.0571099776165,1.09165320996,0.00393958333333,1.5,,,,,,-0.0579433109498,1.09165320996,0.00310625,1.5,,,,,-0.0571863552914,0.00310625,,-0.0580960662997,0.00185625,,,
1994-03,-0.0683893143396,1.02925038213,-0.00244479166667,1.5,,,,,,-0.069222647673,1.02925038213,-0.003278125,1.5,,,,,-0.0684136896581,-0.003278125,,-0.0692713983098,-0.004528125,,,
1994-04,0.000490646743112,0.943937588278,0.00418333333333,1.5,,,,,,-0.000342686590221,0.943937588278,0.00335,1.5,,,,,0.000537365419547,0.00335,,-0.000249249237352,0.0021,,,
1994-05,0.0154833945744,0.948542190557,0.00231770833333,1.5,,,,,,0.0146500612411,0.948542190557,0.001484375,1.5,,,,,0.0155262760823,0.001484375,,0.0147358242568,0.000234375,,,
1994-06,-0.0108378742978,0.955215108894,0.00781145833333,1.5,,,,,,-0.0116712076312,0.955215108894,0.006978125,1.5,,,,,-0.0108005535553,0.006978125,,-0.011596566146,0.005728125,,,
1994-07,-0.0167587395215,0.947534194443,0.000255208333333,1.5,,,,,,-0.0175920728549,0.947534194443,-0.000578125,1.5,,,,,-0.0167150180169,-0.000578125,,-0.0175046298456,-0.001828125,,,
1994-08,0.00900622688847,0.968507361261,-0.000785416666667,1.5,,,,,,0.00817289355514,0.968507361261,-0.00161875,1.5,,,,,0.00903247075409,-0.00161875,,0.00822538128637,-0.00286875,,,
